flow_id,class_name,metadata_confidence,attribution
black_basta_ransomware,double_extortion,high,unknown
conti_cisa_alert,double_extortion,high,G0102
conti_pwc,double_extortion,high,G0102
conti_ransomware,double_extortion,high,G0102
ragnar_locker,double_extortion,high,G0125
revil,double_extortion,high,G0115
cisa_aa22_138b_vmware_workspace_alt,infrastructure_setup,low,unknown
cisa_aa22_138b_vmware_workspace_ta2,infrastructure_setup,low,unknown
dfir_bumblebee_round_2,infrastructure_setup,high,unknown
gootloader,infrastructure_setup,high,unknown
hancitor_dll,infrastructure_setup,high,unknown
cisa_iranian_apt,pure_impediment,high,unknown
maastricht_university_ransomware,pure_impediment,high,unknown
notpetya,pure_impediment,high,G0034
searchawesome_adware,pure_impediment,low,unknown
shamoon,pure_impediment,high,unknown
sony_malware,pure_impediment,high,G0032
tesla_kubernetes_breach,pure_impediment,high,unknown
whispergate,pure_impediment,high,G0034
cisa_aa22_138b_vmware_workspace_ta1,pure_steal,low,unknown
cobalt_kitty_campaign,pure_steal,high,G0050
equifax_breach,pure_steal,high,unknown
fin13_case_1,pure_steal,high,G1016
fin13_case_2,pure_steal,high,G1016
ivanti_vulnerabilities,pure_steal,high,unknown
jp_morgan_breach,pure_steal,high,unknown
mac_malware_steals_crypto,pure_steal,low,unknown
marriott_breach,pure_steal,high,unknown
mitre_nerve,pure_steal,high,unknown
muddy_water,pure_steal,medium,G0069
oceanlotus,pure_steal,high,G0050
solarwinds,pure_steal,high,G0016
swift_heist,pure_steal,high,G0082
target_breach,pure_steal,high,unknown
toolshell_vulnerability_in_sharepoint,pure_steal,low,unknown
turla_carbon_emulation_plan,pure_steal,high,G0010
turla_snake_emulation_plan,pure_steal,high,G0010
uber_breach,pure_steal,medium,G1004?
