flow_id,flow_name,scope,n_actions,terminal_techniques,terminal_tactics,reaches_exfiltration,reaches_impact,stated_objective,attribution,metadata_confidence,source_used,notes
black_basta_ransomware,Black Basta Ransomware,malware,38,T1016;T1070;T1082;T1087;T1112;T1555,credential-access;discovery;persistence;stealth,true,true,double_extortion,unknown,high,ctid_blurb+vendor:unit42.paloaltonetworks.com,CTID blurb + Unit42 confirm double-extortion (encrypt + threaten to leak)
cisa_aa22_138b_vmware_workspace_alt,CISA AA22-138B VMWare Workspace (Alt),incident,11,T1070,stealth,false,false,position_for_future,unknown,low,ctid_blurb+in_flow_only,CISA URL 403; blurb is one line; structural terminal at stealth only; describes ALTERNATIVE exploitation method without observed payload — pre-positioning
cisa_aa22_138b_vmware_workspace_ta1,CISA AA22-138B VMWare Workspace (TA1),incident,10,T1041,exfiltration,true,false,steal_data,unknown,low,ctid_blurb+in_flow_only,"CISA URL 403; structural terminal at exfiltration; CISA AA22-138B is known credential-harvesting/data-staging via VMware Workspace ONE → steal_data by structural signal, low confidence on full intent"
cisa_aa22_138b_vmware_workspace_ta2,CISA AA22-138B VMWare Workspace (TA2),incident,11,T1105,command-and-control,false,false,position_for_future,unknown,low,ctid_blurb+in_flow_only,"CISA URL 403; structural terminal at C2 only — pre-positioning, no observed payload"
cisa_iranian_apt,CISA Iranian APT,incident,23,T1003,credential-access,false,false,impediment,unknown,high,ctid_blurb+in_flow_only,Iranian APT deployed XMRig cryptominer (CTID blurb explicit) — resource hijacking impact
cobalt_kitty_campaign,Cobalt Kitty Campaign,campaign,27,T1021;T1047;T1550,execution;lateral-movement,false,false,steal_data,G0050,high,ctid_blurb+vendor:cybereason.com,"Cybereason: 'goal of stealing proprietary business information' — corporate espionage, OceanLotus. No exfil terminal structurally — TRUNCATED"
conti_cisa_alert,Conti CISA Alert,malware,18,T1057;T1078;T1110;T1203;T1204;T1486;T1558;T1566;T1598;T1608,credential-access;discovery;execution;impact;initial-access;reconnaissance;resource-development,false,true,double_extortion,G0102,high,ctid_blurb+attack_group:G0102,Conti = well-known double-extortion RaaS; flow reaches impact terminal; CISA URL 403 to WebFetch but Conti's double-extortion modus operandi is canonical
conti_pwc,Conti PWC,incident,7,T1204;T1486;T1566;T1586,execution;impact;initial-access;resource-development,false,true,double_extortion,G0102,high,ctid_blurb+attack_group:G0102,Conti PWC variant; same double-extortion characterisation as conti_cisa_alert
conti_ransomware,Conti Ransomware,malware,19,T1021;T1486,impact;lateral-movement,false,true,double_extortion,G0102,high,ctid_blurb+attack_group:G0102,Conti DFIR variant; double-extortion ransomware
dfir_bumblebee_round_2,DFIR - BumbleBee Round 2,incident,19,T1055;T1059,execution;privilege-escalation,false,false,position_for_future,unknown,high,ctid_blurb+vendor:thedfirreport.com,DFIR Report: 'pre-ransomware activity'; 'evicted from the network before any further impact' — initial-access broker positioning
equifax_breach,Equifax Breach,incident,12,T1070;T1190;T1573;T1595,command-and-control;initial-access;reconnaissance;stealth,true,false,steal_data,unknown,high,ctid_blurb+vendor:csoonline.com,Canonical 2017 data breach — PII exfiltration
fin13_case_1,FIN13 Case 1,incident,40,T1033;T1046;T1070;T1110;T1111;T1222;T1505;T1555;T1570;T1595,credential-access;defense-impairment;discovery;lateral-movement;persistence;reconnaissance;stealth,false,false,steal_data,G1016,high,ctid_blurb+attack_group:G1016,"FIN13 'achieves its objectives by stealing intellectual property, financial data, mergers and acquisition information, or PII' (ATT&CK); reaches neither exfil nor impact structurally — TRUNCATED report"
fin13_case_2,FIN13 Case 2,incident,19,T1003;T1005;T1021;T1041;T1083;T1505;T1595,collection;credential-access;discovery;exfiltration;lateral-movement;persistence;reconnaissance,true,false,steal_data,G1016,high,ctid_blurb+attack_group:G1016,FIN13 Peru bank; reaches exfil structurally; financial data theft
gootloader,Gootloader,incident,36,T1021;T1039;T1059;T1087;T1189;T1204;T1482;T1584;T1615,collection;discovery;execution;initial-access;lateral-movement;resource-development,false,false,position_for_future,unknown,high,ctid_blurb+vendor:thedfirreport.com,Multi-stage loader; DFIR Report: 'no further impact before evicted' — loader-as-positioning
hancitor_dll,Hancitor DLL,incident,23,T1055;T1595,privilege-escalation;reconnaissance,false,false,position_for_future,unknown,high,ctid_blurb+vendor:thedfirreport.com,DFIR Report explicit: 'threat actors were evicted before completing their mission' — domain-admin + Cobalt Strike positioning
ivanti_vulnerabilities,Ivanti Vulnerabilities,incident,23,T1021;T1070;T1505;T1552;T1554;T1560;T1592;T1614,collection;credential-access;discovery;lateral-movement;persistence;reconnaissance;stealth,false,false,steal_data,unknown,high,ctid_blurb+vendor:volexity.com,Volexity report explicit: UTA0178 (Chinese nation-state) — credential harvesting + sensitive-data exfil + persistent access. Espionage. Reaches no exfil/impact terminal structurally — TRUNCATED
jp_morgan_breach,JP Morgan Breach,incident,12,T1056;T1068;T1190;T1566;T1587,credential-access;initial-access;privilege-escalation;resource-development,true,false,steal_data,unknown,high,ctid_blurb+in_flow_only,Canonical 2014 data breach — 75M customer accounts; reaches exfil structurally
maastricht_university_ransomware,Maastricht University Ransomware,incident,18,T1003;T1018;T1068;T1095;T1105;T1486;T1547;T1566;T1595,command-and-control;credential-access;discovery;impact;initial-access;persistence;privilege-escalation;reconnaissance,false,true,impediment,unknown,high,ctid_blurb+in_flow_only,2019 university ransomware; CTID blurb does not name double-extortion; reaches impact structurally only
mac_malware_steals_crypto,Mac Malware Steals Crypto,malware,9,T1518,discovery,false,false,steal_data,unknown,low,ctid_blurb+vendor:unit42,"Unit 42 frames credential/cookie theft as primary monetisation channel ('more efficient way to generate profits than outright cryptocurrency mining'), mining secondary. Revised after verification round 2026-05-28. Genuinely ambiguous within 4-class scheme; no clean home — leans steal_data."
marriott_breach,Marriott Breach,incident,8,T1070;T1555;T1590,credential-access;reconnaissance;stealth,false,false,steal_data,unknown,high,ctid_blurb+in_flow_only,Canonical 2018 data breach — guest PII / passport data; structural terminals at reconnaissance/stealth but breach narrative is steal_data
mitre_nerve,MITRE NERVE,incident,33,T1021;T1036;T1041;T1048;T1059;T1071;T1074;T1083;T1135;T1217;T1573,collection;command-and-control;discovery;execution;exfiltration;lateral-movement;stealth,true,false,steal_data,unknown,high,ctid_blurb+vendor:medium.com,"MITRE Engenuity: UNC5221 China-nexus espionage, document exfiltration"
muddy_water,Muddy Water,threat-actor,28,T1036;T1059;T1105;T1218;T1486;T1547;T1566,command-and-control;execution;impact;initial-access;persistence;stealth,false,true,steal_data,G0069,medium,ctid_blurb+attack_group:G0069,"Talos explicitly: 'no encryption, wiping, or ransom demands' in the cited Turkey campaign — T1486 listed only as potential capability (flow has confidence:0 on a10/a23). ATT&CK G0069 = cyber-espionage. Revised after verification round 2026-05-28. Flow aggregates capability across campaigns, not one operation."
notpetya,NotPetya,incident,23,T1003;T1016;T1057;T1134;T1218;T1485;T1518;T1561,credential-access;discovery;impact;privilege-escalation;stealth,false,true,impediment,G0034,high,ctid_blurb+attack_group:G0034,Sandworm destructive wiper masquerading as ransomware; G0034 = 'destructive threat group'
oceanlotus,OceanLotus,incident,23,T1041;T1566,exfiltration;initial-access,true,false,steal_data,G0050,high,ctid_blurb+attack_group:G0050,APT32/OceanLotus — espionage / surveillance of governments + dissidents; reaches exfil structurally
ragnar_locker,Ragnar Locker,threat-actor,19,T1059;T1078;T1105;T1110;T1484;T1486;T1546,command-and-control;credential-access;execution;impact;initial-access;persistence;privilege-escalation,true,true,double_extortion,G0125,high,ctid_blurb+attack_group:G0125,Ragnar Locker — known double-extortion RaaS; flow reaches both exfil and impact
revil,REvil,malware,25,T1012;T1041;T1083;T1486,discovery;exfiltration;impact,true,true,double_extortion,G0115,high,ctid_blurb+attack_group:G0115,REvil/Sodinokibi RaaS — established double-extortion operator; flow reaches both exfil and impact terminals
searchawesome_adware,SearchAwesome Adware,malware,11,T1070,stealth,false,false,impediment,unknown,low,ctid_blurb+in_flow_only,Malwarebytes: 'doesn't directly exfiltrate user data' — ad-injection with MitM infrastructure that could enable future exfil. No clean home in 4-class scheme. Confidence downgraded after verification round 2026-05-28; defensible as integrity-compromise by analogy but stretch.
shamoon,Shamoon,malware,23,T1018;T1027;T1529;T1543;T1570,discovery;impact;lateral-movement;persistence;stealth,false,true,impediment,unknown,high,ctid_blurb+vendor:mcafee.com,Disk-wiping malware family (McAfee article: 'Shamoon returns to wipe systems'); reaches impact structurally
solarwinds,SolarWinds,incident,33,T1003;T1036;T1053;T1057;T1078;T1482;T1497;T1555;T1558;T1567;T1568,command-and-control;credential-access;discovery;execution;exfiltration;initial-access;stealth,true,false,steal_data,G0016,high,ctid_blurb+attack_group:G0016,APT29 supply-chain espionage (C0024); reaches exfil structurally; classic espionage data theft
sony_malware,Sony Malware,malware,18,T1105;T1491;T1561;T1574,command-and-control;execution;impact,false,true,impediment,G0032,high,ctid_blurb+attack_group:G0032,Lazarus 2014 Sony attack — 'destructive wiper attack on Sony Pictures Entertainment' (ATT&CK G0032)
swift_heist,SWIFT Heist,incident,11,T1105;T1190;T1566,command-and-control;initial-access,false,false,steal_data,G0082,high,ctid_blurb+attack_group:G0082,APT38 SWIFT heist — financial theft (stolen money via fraudulent transfers); structurally no exfil/impact terminal — TRUNCATED
target_breach,Target Breach,incident,17,T1029;T1105;T1505;T1566;T1592;T1593,command-and-control;exfiltration;initial-access;persistence;reconnaissance,true,false,steal_data,unknown,high,ctid_blurb+in_flow_only,Canonical 2013 PoS breach — payment-card exfiltration
tesla_kubernetes_breach,Tesla Kubernetes Breach,incident,9,T1496;T1530,collection;impact,false,true,impediment,unknown,high,ctid_blurb+in_flow_only,Cryptomining attack — XMRig-style resource hijacking on K8s; reaches impact structurally
toolshell_vulnerability_in_sharepoint,ToolShell Vulnerability in Sharepoint,campaign,15,,,true,false,steal_data,unknown,low,ctid_blurb+vendor:unit42.paloaltonetworks.com,Unit 42: MachineKey exfiltration attributed to cluster CL-CRI-1040; 4L4MD4R ransomware NOT attributed to that cluster — different actors exploiting same vuln for divergent objectives. Strictly not double_extortion (which requires one operation pursuing both). Revised after verification round 2026-05-28; flow conflates two actor clusters.
turla_carbon_emulation_plan,Turla - Carbon Emulation Plan,emulation-plan,81,T1003;T1007;T1018;T1021;T1053;T1055;T1056;T1059;T1069;T1087;T1090;T1189;T1543;T1547;T1550;T1566;T1570,command-and-control;credential-access;discovery;execution;initial-access;lateral-movement;persistence;privilege-escalation,false,false,steal_data,G0010,high,ctid_blurb+attack_group:G0010,CTID blurb explicitly: 'provides data exfiltration capabilities'; G0010 Turla = cyber-espionage
turla_snake_emulation_plan,Turla - Snake Emulation Plan,emulation-plan,74,T1003;T1018;T1041;T1049;T1055;T1057;T1059;T1069;T1071;T1087;T1114;T1132;T1543;T1547;T1569;T1570;T1573,collection;command-and-control;credential-access;discovery;execution;exfiltration;lateral-movement;persistence;privilege-escalation,true,false,steal_data,G0010,high,ctid_blurb+attack_group:G0010,CTID blurb explicitly: 'rootkit used to compromise computers and exfiltrate data'; G0010 Turla
uber_breach,Uber Breach,incident,8,T1078;T1552;T1586;T1621,credential-access;initial-access;resource-development,false,false,steal_data,G1004?,medium,ctid_blurb+in_flow_only,Lapsus$ Uber breach 2022 — credential theft + source code access (per ATT&CK Lapsus$); reaches no exfil/impact terminal structurally — TRUNCATED report
whispergate,WhisperGate,campaign,19,T1027;T1059;T1105;T1529;T1542,command-and-control;execution;impact;persistence;stealth,false,true,impediment,G0034,high,ctid_blurb+attack_group:G0034,Russian state-sponsored wiper targeting Ukraine; CTID blurb explicit
